id,user_id,character_id,title,last_message_at,last_message_preview,message_count,deleted_at,created_at,updated_at,context_window_start_turn,pinned_at
973e3078-e162-46c8-9103-6a9bf15d3fa6,a02f865b-77f1-4ed7-ae02-b95973b8cd22,c535f15d-328e-445e-bd00-98959ad1e92e,被校霸欺负的学生母亲上门要说法,2026-09-21 22:54:12.236021+08,不是艹她，是艹她妈妈，,6,,2026-09-21 22:42:56.09168+08,2026-09-21 22:54:12.236021+08,1,
dd7be581-465a-44b5-a56d-74d2dd86f800,2629db94-8e42-4b12-beb2-688b28bb97a5,dcd2e52f-30ef-45b0-af51-89f25c642855,人妻母乳拍卖成性奴,2026-09-21 22:53:40.504322+08,林语柔明显愣了一下。 她大概没想到，在预览室那种地方一掷千金买下三个女人的男人，开口对她说的第一句话竟然是这个。她原以为等待自己的会是粗暴的撕扯、命令式的跪伏，或者某种下马威式的羞辱——那些她在被送进公馆之前，已经在无数个失眠的夜晚里预演过,8,,2026-09-21 22:43:50.853123+08,2026-09-21 22:54:06.510023+08,1,
8f4e743a-a073-483d-9ec3-33189fc79fbf,b3fb61e6-87da-4af5-ad20-ea6fb78c5a8d,a51f862b-f788-4d95-a4b3-f642489781e9,青楼新东家：花魁跪着接客,2026-09-21 22:52:40.541719+08,你偏头对知音说了一句。 声音很轻，轻到只有贴在你身后的两个人能听见。你没有重复第二遍——不需要。知音的耳朵在你开口的第一个音节就已经接收完了全部信息：药厂。带走。全部。 知音的脚底在地板上无声地转了个方向。她的身体从面向那六个女人的姿态切换,32,,2026-09-21 19:28:16.508631+08,2026-09-21 22:53:44.361584+08,1,
f8b331d2-1155-4554-9b38-1b09f6cc8b52,c614725e-ef76-4ddc-9b63-12a5e68fab73,7667ef23-113d-4167-a939-b98f05ce1f34,谎言成真强制淫乱重塑,2026-09-21 22:52:16.263821+08,她听到你的话，眼中闪过一丝兴奋的光芒，调整了一下手机的角度，让镜头更好地捕捉她的面孔和微微起伏的肩线。 “嗯…那人家就不客气了～” 她深吸一口气，舌尖轻轻舔过上唇，眼神变得愈发迷离。公交车正好驶过一个弯道，车身倾斜，她顺势轻轻扭动了一下腰肢,16,,2026-09-21 09:34:14.938044+08,2026-09-21 22:52:27.0786+08,1,
dfd6b76a-8598-44d6-bacd-766602fb6964,571994d1-2ffa-45ed-96e9-78835898661c,d8745df6-3e5a-45b0-8eed-5149a0f5fda9,一句话让汗湿教练成肉便器,2026-09-21 22:51:16.954792+08,你站在瑜伽馆门外，阳光从玻璃上反射回来，刺得你眯了一下眼。透过那层透明的隔断，你能看见苏晴正弯腰把托盘上的饮料一杯杯拿出来，动作间臀部在浅灰瑜伽裤里翻转出肉浪，前台的丸子头女孩接过去时踮了踮脚，领口低垂的衣领里两团白嫩的乳肉晃了一下。 你深,2,,2026-09-21 22:50:32.70011+08,2026-09-21 22:52:15.162936+08,1,
b060d195-3938-4652-a23d-7f3add180763,bec3c1d2-8f10-476e-a383-6e8acf5cd1b0,95c32378-d4d1-4e78-bb20-15fa5610fa27,"💕【快餐外卖群】——挑选你想吃的""快餐""。",2026-09-21 22:50:32.918511+08,王馨怡挂断视频通话，手机屏幕暗下去的那一瞬，她抬起头看向你。脸上的泪痕已经被她自己用指尖胡乱擦掉一些，留下几道浅浅的水光，但她的嘴角却挂着一丝弧度——那是复仇得逞后的快意，也是彻底放开了某种束缚后的轻松。 她没有说话，而是直接俯下身，重新含,72,,2026-09-21 22:00:05.958247+08,2026-09-21 22:50:39.030567+08,1,
187816f2-b6b0-44d0-bcc2-84e8f86ca070,571994d1-2ffa-45ed-96e9-78835898661c,d8745df6-3e5a-45b0-8eed-5149a0f5fda9,一句话让汗湿教练成肉便器,2026-09-21 22:48:42.79157+08,你开始做了。 手臂顺着地面往上滑，举过头顶，指尖在瑜伽垫的磨砂表面上拖出一道几乎听不见的沙沙声。吸气的时候你能感觉到腹部在她的手掌之下鼓起——她的手掌居然还在那里，不知道什么时候重新贴了回来，掌心贴着你的T恤下缘那一小片裸露的皮肤，温热的，,12,2026-09-21 22:50:29.393+08,2026-09-21 22:39:01.365181+08,2026-09-21 22:50:29.393+08,1,
0ae9e255-7852-4603-9390-efa96def0794,a1322cf1-1442-40e3-b966-d3bad5372b88,4c6ef988-4f80-424a-917a-87bc4e04e6b3,冰山室友其实是个骚逼,2026-09-21 22:48:08.715024+08,以寒没有立刻回答。她低着头，手指还绞着T恤下摆，指尖泛白。吹风机在你手中安静地等待，暖黄的壁灯在房间里投下淡淡的阴影。 过了几秒，她极轻地「嗯」了一声，声音小得几乎听不见。然后她慢慢站起来，赤脚踩在地板上，走到书桌旁的插座边，背对着你坐下。,6,,2026-09-21 22:44:14.903248+08,2026-09-21 22:48:21.728075+08,1,
c34455df-eb6e-42ce-9e34-9492cfb7dc9b,2629db94-8e42-4b12-beb2-688b28bb97a5,82afaede-7f22-4e32-a231-b4cdda490b2e,放养青梅满嘴鸡巴：白虎坐脸,2026-09-21 22:43:00.264562+08,一阵晚风从街道尽头吹来，带着初夏傍晚特有的温润气息，拂动她额前的碎发轻轻扬起。 林星悦听到你那句话，脚步微微一顿。她侧过头来，逆着夕阳的光，那双大眼里映着天边暖橘色的余晖，目光在你脸上停驻了片刻，像是在确认什么。然后她缓缓弯起嘴角——那个笑,96,,2026-09-21 21:59:03.683179+08,2026-09-21 22:43:08.414499+08,1,
c2b518e4-4d48-478e-9035-ea370af2be16,a1322cf1-1442-40e3-b966-d3bad5372b88,cd1d83bd-2f1c-4ca3-94c2-44319834aaf3,💖【江漱冰 | 纯情校花的堕落调教】,2026-09-21 22:40:12.808148+08,那根沾满江漱冰体液的肉棒抵在夏雨晴从未被人触碰过的穴口处时，她整个人剧烈地颤抖了一下。那处粉嫩的入口在你的轻缓摩擦下微微张开又闭合，像是某种本能的自卫反应，又像是一种无声的、小心翼翼的试探。她的手指紧紧抓着身下的床单，指节泛白，整个人因紧张,206,,2026-09-21 18:42:09.107499+08,2026-09-21 22:40:50.36531+08,1,
